CustomerID,FirstName,LastName,Email,JoinDate,LastPurchaseDate,TotalPurchases,TotalSpend,Churn
55,Michael,Lee,michael@email.com,2026-07-05,2023-12-01,9,450.00,0
56,Karen,Williams,karen@email.com,2026-08-15,2024-01-05,3,150.00,1
57,William,Brown,william@email.com,2026-09-10,2024-02-10,12,600.00,0
58,Sarah,Hall,sarah@email.com,2026-10-20,2024-03-15,6,300.00,0
59,Robert,Jones,robert@email.com,2026-11-25,2024-04-20,11,550.00,0
60,Michelle,Davis,michelle@email.com,2026-12-01,2024-05-25,8,400.00,0
61,David,Anderson,david@email.com,2027-01-05,2024-06-01,7,350.00,0
62,Linda,Wilson,linda@email.com,2027-02-10,2024-07-05,9,450.00,0
63,James,Evans,james@email.com,2027-03-20,2024-08-10,10,500.00,0
64,Patricia,Moore,patricia@email.com,2027-04-25,2024-09-15,5,250.00,0
65,John,Kim,john@email.com,2027-05-15,2024-10-20,6,300.00,0
66,Elizabeth,Hall,elizabeth@email.com,2027-06-10,2024-11-25,12,600.00,0
67,Charles,Clark,charles@email.com,2027-07-05,2024-12-01,4,200.00,0
68,Laura,Brown,laura@email.com,2027-08-15,2025-01-05,7,350.00,0
69,Daniel,Roberts,daniel@email.com,2027-09-10,2025-02-10,8,400.00,0
70,Nancy,Miller,nancy@email.com,2027-10-20,2025-03-15,6,300.00,0
71,William,Lee,william@email.com,2027-11-25,2025-04-20,10,500.00,0
72,Deborah,Williams,deborah@email.com,2027-12-01,2025-05-25,11,550.00,0
73,Robert,King,robert@email.com,2028-01-05,2025-06-01,9,450.00,0
74,Christine,Jackson,christine@email.com,2028-02-10,2025-07-05,3,150.00,1
75,Andrew,Martin,andrew@email.com,2028-03-20,2025-08-10,5,250.00,1
76,Lisa,White,lisa@email.com,2028-04-25,2025-09-15,8,400.00,0
77,Michael,Adams,michael@email.com,2028-05-15,2025-10-20,6,300.00,0
78,Susan,Roberts,susan@email.com,2028-06-10,2025-11-25,7,350.00,0
79,David,Taylor,david@email.com,2028-07-05,2025-12-01,10,500.00,0
80,Karen,White,karen@email.com,2028-08-15,2026-01-05,11,550.00,0
81,John,Bell,john@email.com,2028-09-10,2026-02-10,4,200.00,0
82,Linda,Wilson,linda@email.com,2028-10-20,2026-03-15,5,250.00,0
83,William,Scott,william@email.com,2028-11-25,2026-04-20,12,600.00,0
84,Mary,Harris,mary@email.com,2028-12-01,2026-05-25,6,300.00,0
85,James,Jackson,james@email.com,2029-01-05,2026-06-01,3,150.00,1
86,Elizabeth,Turner,elizabeth@email.com,2029-02-10,2026-07-05,8,400.00,0
87,Michael,Hall,michael@email.com,2029-03-20,2026-08-10,7,350.00,0
88,Susan,Evans,susan@email.com,2029-04-25,2026-09-15,9,450.00,0
89,Robert,Lee,robert@email.com,2029-05-15,2026-10-20,10,500.00,0
90,Christine,Clark,christine@email.com,2029-06-10,2026-11-25,4,200.00,0
91,John,Smith,john@email.com,2029-07-05,2026-12-01,8,400.00,0
92,Laura,Martin,laura@email.com,2029-08-15,2027-01-05,5,250.00,1
93,William,Taylor,william@email.com,2029-09-10,2027-02-10,7,350.00,0
94,Emily,Anderson,emily@email.com,2029-10-20,2027-03-15,6,300.00,1
95,Michael,Johnson,michael@email.com,2029-11-25,2027-04-20,9,450.00,0
96,Rebecca,Brown,rebecca@email.com,2029-12-01,2027-05-25,11,550.00,0
97,David,Miller,david@email.com,2030-01-05,2027-06-01,4,200.00,0
98,Susan,Lee,susan@email.com,2030-02-10,2027-07-05,6,300.00,0
99,James,Roberts,james@email.com,2030-03-20,2027-08-10,12,600.00,0
100,Karen,Clark,karen@email.com,2030-04-25,2027-09-15,7,350.00,0
